Model,PCA_Components,Best_Params,Best_Score,Precision,Recall,F1_Score,Macro_F1_Score,Weighted_F1_Score,Train_Time,Predict_Time
ViT-bigG-14-CLIPA-336_datacomp1b,70,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.958040684,0.96706891,0.95157751,0.95926067,0.906708691,0.958080872,3468.805809,2.531237602
ViT-bigG-14-CLIPA-336_datacomp1b,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.957888117,0.967160702,0.951455601,0.959243873,0.905225714,0.957995081,2908.953588,2.487343073
ViT-bigG-14-CLIPA-336_datacomp1b,40,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.957972602,0.966718669,0.951845711,0.959224541,0.899088534,0.957919795,2395.686618,2.155941486
ViT-H-14-CLIPA-336_datacomp1b,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.957824099,0.967818832,0.949939069,0.958795602,0.908043039,0.95763341,3088.875813,2.458214045
ViT-bigG-14-CLIPA-336_datacomp1b,50,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.957793596,0.966688973,0.950967962,0.958764027,0.904817447,0.957556955,2948.644714,2.433092833
ViT-H-14-CLIPA-336_datacomp1b,30,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.957364861,0.966513102,0.9510602,0.958724387,0.905090723,0.957516123,2181.30915,1.986491442
ViT-bigG-14-CLIPA-336_datacomp1b,30,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.95747139,0.966662536,0.950894816,0.958713848,0.898526998,0.957384048,2113.349145,2.670278788
ViT-H-14-CLIPA-336_datacomp1b,60,"{'estimator__max_depth': 30, 'estimator__n_estimators': 100}",0.957782768,0.967802842,0.949451621,0.958539406,0.906187912,0.957331056,3222.372993,2.236083984
ViT-H-14-CLIPA-336_datacomp1b,70,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.95766049,0.967824488,0.949378504,0.958512759,0.904990882,0.957208987,3491.357736,2.370826721
ViT-H-14-CLIPA-336_datacomp1b,40,"{'estimator__max_depth': 20, 'estimator__n_estimators': 100}",0.95793394,0.966450109,0.949914697,0.958111065,0.90777811,0.956954802,2595.6025,1.928889513
ViT-H-14-quickgelu_dfn5b,50,"{'estimator__max_depth': None, 'estimator__n_estimators': 100}",0.956874814,0.967705875,0.948594945,0.958055115,0.905515749,0.956750848,3191.87347,3.606068134
